dataset_id,attribute_profile,dataset_points,iteration,source_read_seconds,mask_core_seconds,spruill_only_seconds,feature_construction_seconds,output_write_seconds,mask_core_plus_spruill_seconds,workflow_total_seconds,outer_elapsed_seconds,unaccounted_seconds
field-50-typical,typical,50,1,0.182159576,0.001830615,0.003512538,0.001344500,0.134504923,0.005343153,0.323791000,0.323858538,0.000438848
field-50-typical,typical,50,2,0.181421346,0.001961000,0.003536230,0.001348423,0.132800307,0.005497230,0.321491192,0.321558730,0.000423886
field-50-typical,typical,50,3,0.187891500,0.001834576,0.003507231,0.001509615,0.152113846,0.005341807,0.347295692,0.347365577,0.000438924
field-50-typical,typical,50,4,0.185907231,0.001839923,0.003474847,0.001437730,0.133624654,0.005314770,0.326706461,0.326774230,0.000422076
field-50-typical,typical,50,5,0.192427654,0.001905269,0.003352885,0.001422192,0.135654692,0.005258154,0.335182654,0.335281346,0.000419962
field-250-typical,typical,250,1,1.089663500,0.014545154,0.134785077,0.009302500,0.813524307,0.149330231,2.062235383,2.062300537,0.000414845
field-250-typical,typical,250,2,1.015363884,0.012708808,0.106527384,0.006922923,0.754486345,0.119236192,1.896503037,1.896570191,0.000493693
field-250-typical,typical,250,3,1.042578423,0.012407423,0.067974307,0.006656038,0.717553346,0.080381730,1.847572691,1.847637499,0.000403154
field-250-typical,typical,250,4,1.016923153,0.012554116,0.064932231,0.006692115,0.683601384,0.077486347,1.785103960,1.785168806,0.000400961
field-250-typical,typical,250,5,0.927083346,0.012718308,0.048324231,0.006818692,0.634383731,0.061042539,1.629726498,1.629791268,0.000398190
field-1000-rich,rich,1000,1,3.848063766,0.041285884,0.088317039,0.026355077,2.058894845,0.129602923,6.063310957,6.063377803,0.000394346
field-1000-rich,rich,1000,2,3.814465613,0.035705885,0.087911270,0.026183730,2.068500499,0.123617155,6.033161419,6.033227573,0.000394422
field-1000-rich,rich,1000,3,3.897772497,0.035631539,0.085774654,0.026350538,2.004328691,0.121406193,6.050255727,6.050322534,0.000397808
field-1000-rich,rich,1000,4,3.835792228,0.035570692,0.086556538,0.026404346,2.069149345,0.122127230,6.053998919,6.054066381,0.000525770
field-1000-rich,rich,1000,5,3.812565497,0.035575962,0.084933307,0.026121038,2.001748191,0.120509269,5.961380303,5.961446803,0.000436308
field-1000-typical,typical,1000,1,3.673029536,0.035722923,0.085051923,0.026319654,1.926108267,0.120774846,5.746631611,5.746698803,0.000399308
field-1000-typical,typical,1000,2,3.666766998,0.035564346,0.085169154,0.026617769,1.874600768,0.120733500,5.689180842,5.689249034,0.000461807
field-1000-typical,typical,1000,3,3.679668844,0.036265153,0.085048500,0.026599192,1.927916460,0.121313653,5.755896150,5.755962958,0.000398001
field-1000-typical,typical,1000,4,3.629330151,0.035627730,0.084136808,0.026582654,1.935477114,0.119764538,5.711560842,5.711635919,0.000406385
field-1000-typical,typical,1000,5,3.624002036,0.035847230,0.083625654,0.026443000,1.898985653,0.119472884,5.669370535,5.669438573,0.000466962
