dataset_id,attribute_profile,dataset_points,plaintext_bytes,encrypted_bytes,operation,warmup_runs,measured_runs,median_seconds,q1_seconds,q3_seconds,mean_seconds,min_seconds,max_seconds,throughput_mib_per_second
field-50-rich,rich,50,167115,114031,openpgp_decrypt_verify,1,5,2.391051345,2.384805421,2.391093268,2.388719621,2.382685152,2.393962921,0.066654
field-50-typical,typical,50,40718,15491,mask_core,1,5,0.001839923,0.001834576,0.001905269,0.001874277,0.001830615,0.001961000,
field-50-typical,typical,50,40718,15491,mask_core_plus_spruill,1,5,0.005341807,0.005314770,0.005343153,0.005351023,0.005258154,0.005497230,
field-50-typical,typical,50,40718,15491,mask_workflow_total,1,5,0.326706461,0.323791000,0.335182654,0.330893400,0.321491192,0.347295692,
field-50-typical,typical,50,40718,15491,openpgp_encrypt_signed_one_recipient,1,5,2.340849652,2.334951345,2.342252614,2.339405591,2.333824114,2.345150229,0.016589
field-250-rich,rich,250,835751,563329,openpgp_decrypt_verify,1,5,2.635431768,2.635050767,2.646241229,2.637494960,2.623773998,2.646977036,0.302430
field-250-typical,typical,250,203754,69364,mask_core,1,5,0.012708808,0.012554116,0.012718308,0.012986762,0.012407423,0.014545154,
field-250-typical,typical,250,203754,69364,mask_core_plus_spruill,1,5,0.080381730,0.077486347,0.119236192,0.097495408,0.061042539,0.149330231,
field-250-typical,typical,250,203754,69364,mask_workflow_total,1,5,1.847572691,1.785103960,1.896503037,1.844228314,1.629726498,2.062235383,
field-500-rich,rich,500,1671669,1124988,openpgp_encrypt_signed_one_recipient,1,5,19.911619308,19.733713270,22.185130346,22.581538674,11.670923270,39.406307176,0.080065
field-1000-rich,rich,1000,3343497,2248188,mask_core,1,5,0.035631539,0.035575962,0.035705885,0.036753992,0.035570692,0.041285884,
field-1000-rich,rich,1000,3343497,2248188,mask_core_plus_spruill,1,5,0.122127230,0.121406193,0.123617155,0.123452554,0.120509269,0.129602923,
field-1000-rich,rich,1000,3343497,2248188,mask_workflow_total,1,5,6.050255727,6.033161419,6.053998919,6.032421465,5.961380303,6.063310957,
field-1000-typical,typical,1000,815500,271531,mask_core,1,5,0.035722923,0.035627730,0.035847230,0.035805476,0.035564346,0.036265153,
field-1000-typical,typical,1000,815500,271531,mask_core_plus_spruill,1,5,0.120733500,0.119764538,0.120774846,0.120411884,0.119472884,0.121313653,
field-1000-typical,typical,1000,815500,271531,mask_workflow_total,1,5,5.711560842,5.689180842,5.746631611,5.714527996,5.669370535,5.755896150,
field-1000-typical,typical,1000,815500,271531,openpgp_encrypt_signed_one_recipient,1,5,2.682588729,2.677087113,2.698264499,2.686903614,2.673874421,2.702703306,0.289915
field-1000-typical,typical,1000,815500,271531,openpgp_decrypt_verify,1,5,2.531531883,2.530650690,2.536049306,2.533014713,2.526936959,2.539904729,0.307214
field-2000-typical,typical,2000,1633146,541099,openpgp_encrypt_signed_one_recipient,1,5,3.053269767,3.053249344,3.068078844,3.058832675,3.049610382,3.069955037,0.510105
field-2000-typical,typical,2000,1633146,541099,openpgp_decrypt_verify,1,5,2.740198729,2.739238998,2.741974113,2.743250760,2.736960498,2.757881460,0.568386
